speaker,occupation,about_speaker,language
Sam Rodriques,{0: ['neuroengineer']},{0: 'Sam Rodriques invents new technologies to help neuroscientists understand how the brain works.'},en
Max Tegmark,"{0: ['scientist', 'author']}","{0: 'Max Tegmark is driven by curiosity, both about how our universe works and about how we can use the science and technology we discover to help humanity flourish rather than flounder.'}",en
Dan Kwartler,,,en
Katlego Kolanyane-Kesupile,"{0: ['artist', 'activist']}","{0: ""Katlego Kolanyane-Kesupile is the founder of the Queer Shorts Showcase Festival, Botswana's first and only LGBT-themed theatre festival.""}",en
Giada Gerboni,{0: ['biomedical engineer']},"{0: 'Giada Gerboni works in surgical robotics, supporting surgeons with new flexible robotic devices in order to make once impossible operations a reality.'}",en
Prosanta Chakrabarty,{0: ['ichthyologist']},{0: 'Prosanta Chakrabarty studies fish to help explain the evolution of human beings and our planet. '},en
Gastón Acurio,{0: ['chef']},"{0: 'Gastón Acurio is a chef, writer, entrepreneur and one of the most important promoters of Peruvian cooking in the world.'}",es
Adrienne Mayor,,,en
Frans de Waal,{0: ['primatologist']},"{0: 'Frans de Waal studies primate social behavior -- how they fight and reconcile, share and cooperate.'}",en
Poppy Crum,"{0: ['neuroscientist', 'technologist']}",{0: 'Poppy Crum builds technologies that best leverage human physiology to enhance our experiences and how we interact with the world.'},en
Douglas L Oliver,,,en
Ann Curry,,"{0: 'A world-renowned journalist and television personality, Ann graduated from the University of Oregon’s School of Journalism, started her career in Ashland (and then Portland!), then quickly rose to global prominence. Most recognized for her high-profile interviews, as well as in-depth coverage of natural disasters and human suffering in active war zones, Ann’s reporting is testament to the power of journalism and its ability to connect us all.'}",en
Essam Daod,{0: ['mental health specialist']},{0: 'Essam Doad provides first response mental health interventions to refugees and displaced populations.'},en
Reed Hastings,"{0: ['entrepreneur', 'philanthropist'], 1: ['head of ted']}","{0: 'As co-founder and CEO of Netflix, Reed Hastings is revolutionizing the world of entertainment.', 1: 'After a long career in journalism and publishing, Chris Anderson became the curator of the TED Conference in 2002 and has developed it as a platform for identifying and disseminating ideas worth spreading.'}",en
Emma Bryce,,,en
Anna Rothschild,{0: ['science journalist']},{0: 'Anna Rothschild makes videos about science for the young and the young at heart.'},en
James Bridle,"{0: ['artist', 'writer']}","{0: 'Working across technologies and disciplines, James Bridle examines technology, knowledge and the end of the future.'}",en
Joelle R Maletis,,,en
Vishaan Chakrabarti,"{0: ['architect', 'author']}","{0: 'Vishaan Chakrabarti\'s book, ""A Country of Cities: A Manifesto for an Urban America,"" makes the case that a more urban USA would result in a more prosperous, sustainable, joyous and socially mobile nation.'}",en
Paul Rucker,"{0: ['visual artist', 'cellist']}","{0: 'TED Fellow Paul Rucker creates art that explores issues related to mass incarceration, racially-motivated violence, police brutality and the continuing impact of slavery in the US.'}",en
Karen J. Meech,"{0: ['astronomer', 'astrobiologist']}",{0: 'Karen J. Meech is an astronomer who investigates how habitable worlds form and explores the bigger picture of whether there is life elsewhere.'},en
Ian Firth,"{0: ['engineer', 'bridge designer']}","{0: 'Ian Firth designs bridges all around the world; some are very long and cross over wide rivers or sea channels, and some are really short and in the middle of towns and cities, but ""all of them are unique and special in their own way.""'}",en
Elizabeth Cox,,,en
Travis Rieder,{0: ['bioethicist']},"{0: 'Travis Rieder wants to help find a solution to America’s opioid crisis -- and if that sounds a bit too lofty, he’d settle for making clear, incremental progress in a responsible, evidence-based way.'}",en
Gordon Hamilton,,,en
Rodin Lyasoff,{0: ['flight junkie']},{0: 'Rodin Lyasoff makes improbable objects fly.'},en
Penny Chisholm,"{0: ['microbial oceanographer', 'author']}","{0: 'Penny Chisholm studies an extremely tiny microorganism that plays an enormous role in ocean ecosystems. Discovered only three decades ago, it has defined her career and inspired her to think differently about life on Earth.'}",en
Emily Nagoski,{0: ['sex educator']},{0: 'Emily Nagoski teaches women to live with confidence and joy inside their bodies.'},en
Lizzie Velásquez,"{0: ['author', 'youtuber']}","{0: 'Lizzie Velasquez is a motivational speaker, YouTube star and author of ""Lizzie Beautiful: The Lizzie Velásquez Story.""'}",en
Steve Boyes,{0: ['conservation biologist']},{0: 'Steve Boyes is working to study and conserve the endangered Okavango Delta in Botswana. '},en
Lindsay Malloy,"{0: ['developmental psychology professor', 'researcher']}",{0: 'Lindsay Malloy studies how kids function in a legal system that was designed for adults. '},en
Alison Ledgerwood,{0: ['social psychologist']},"{0: 'Alison Ledgerwood is an Associate Professor at the University of California, Davis. Her research focuses on the psychological tools that allow humans to reach beyond their current experiences.'}",en
Keiichiro Hirano,{0: ['novelist']},"{0: ""Keiichiro Hirano is the award-winning author of Nisshoku, L'Eclipse,\r\nConte de la première lune, The Only Form of Love, and \r\nDawn.""}",ja
Jennifer Wilcox,{0: ['chemical engineer']},"{0: 'Jennifer Wilcox works on ways to test and measure methods of trace metal and carbon capture, to mitigate the effects of fossil fuels on our planet.'}",en
Jakob Magolan,{0: ['organic chemist']},{0: 'Professor Jakob Magolan is a synthetic chemist who assembles new molecules to discover new medicines.'},en
Sophie Zadeh,,,en
Rebecca D Tarvin,,,en
Gary Liu,{0: ['media executive']},"{0: 'Gary Liu is CEO of the South China Morning Post, a leading news media company that has reported on China and Asia for more than a century.'}",en
Lina Marieth Hoyos,,,en
Kola Masha,{0: ['agricultural leader']},"{0: 'Kola Masha is the founder of Babban Gona, the first for-profit social enterprise in history to be awarded the prestigious Skoll Award, due to its financial sustainability and highly scalable impact. The organization is part-owned by the farmers they serve.'}",en
Dan Knights,{0: ['computational microbiologist']},"{0: 'Dan Knights develops computational methods for doing precision medicine with gut bacterial communities, or microbiomes, and he applies those methods to study human disease. '}",en
Dan Gibson,{0: ['genome writer']},"{0: 'Dan Gibson leads a new breed of bioengineers, called genome writers, who use DNA to design and build new products powering the next industrial revolution.'}",en
Dina Katabi,{0: ['technologist']},{0: 'Dina Katabi investigates how AI can make wireless devices sense human motion and vital signs.'},en
José Américano N L F de Freitas,,,en
Elizabeth White,"{0: ['author', 'advocate']}",{0: 'Elizabeth White is an author and aging solutions advocate for older adults facing uncertain work and financial insecurity.'},en
Renzo Piano,{0: ['architect']},{0: 'Renzo Piano is a builder of shelters for human beings. And communities.'},en
Will Marshall,{0: ['space scientist']},"{0: 'At Planet, Will Marshall leads overall strategy for commercializing new geospatial data and analytics that are disrupting agriculture, mapping, energy, the environment and other vertical markets.'}",en
Rebeca Hwang,{0: ['investor']},"{0: 'Rebeca Hwang is co-founder and managing director of Rivet Ventures, investing in solutions for women and empowering their choices.'}",en
Julia Shaw,{0: ['psychological scientist']},{0: 'Julia Shaw is best known for her work in the areas of memory and criminal psychology.'},en
Alex Gendler,,,en
Rebeca Hwang,{0: ['investor']},"{0: 'Rebeca Hwang is co-founder and managing director of Rivet Ventures, investing in solutions for women and empowering their choices.'}",es
Kashmir Hill,"{0: ['technology journalist'], 1: ['artist', 'investigative journalist', 'engineer']}","{0: 'Kashmir Hill writes about privacy and technology.\r\n', 1: 'Think of Surya Mattu as a data detective. As he writes: ""I am interested in figuring out the ways in which algorithmic systems harm people.""\r\n'}",en
Mikhail Zygar,"{0: ['journalist', 'writer', 'filmmaker']}","{0: 'Mikhail Zygar is the founder of Future History, the creative digital studio behind Project1917 and 1968.digital.'}",en
Stephen Webb,"{0: ['writer', 'scientist']}","{0: ""Stephen Webb is a science fiction fan who's passionately interested in what the future might hold for our species.""}",en
Elizabeth Cox,,,en
Professor Ian Barnes,{0: ['research leader and ancient dna specialist']},"{0: 'Prof Ian Barnes is a Research Leader at the Natural History Museum, where he focuses on the investigation of ancient biomolecules to resolve questions in archaeology, palaeontology and evolutionary biology. He has degrees in Archaeological Science (from Bradford) and Molecular Ecology (from York) and for the last 20 years he has been heavily involved in the development of ancient DNA. For much of that time, he has investigated the histories of living and extinct species in the Holarctic – a region from Europe across Asia into North America – between 100 and 10 thousand years ago. Recently, his major focus has been on the role of adaptation and migration in the human settlement of the British Isles.'}",en
Anielle Reid,"{0: ['singer-songwriter', 'banjoist'], 1: ['songwriter', 'performer']}","{0: 'Anielle Reid is an American singer-songwriter and banjoist.', 1: 'Matthew Brookshire is a songwriter and performer originally from North Carolina. '}",en
Tamekia MizLadi Smith,"{0: ['performer', 'mentor']}",{0: 'Tamekia MizLadi Smith wants to start new conversations around involving non-clinical staff in healthcare.'},en
Lucy Marcil,"{0: ['pediatrician', 'social entrepreneur']}",{0: 'Lucy Marcil is providing fiscal services to low-income families in the doctor’s waiting room.'},en
Pratik Shah,{0: ['medical technologist']},"{0: 'TED Fellow Pratik Shah creates novel intersections between engineering, medical imaging, machine learning and medicine.'}",en
Christina Wallace,"{0: ['entrepreneur', 'podcaster', 'storyteller']}","{0: 'A self-described ""human Venn diagram,"" Christina Wallace has crafted a career at the intersection of business, the arts and technology.'}",en
Supasorn Suwajanakorn,{0: ['computer scientist']},"{0: 'Supasorn Suwajanakorn works on ways to reconstruct, preserve and reanimate anyone -- just from their existing photos and videos.'}",en
Janell Hobson,,,en
Bronwyn King,"{0: ['oncologist', 'tobacco-free advocate']}","{0: 'Dr. Bronwyn King on a mission to save a billion lives -- from tobacco, the greatest preventable cause of premature death.'}",en
Christoph Niemann,"{0: ['illustrator', 'artist', 'author']}","{0: 'With charm and incisive wit, Christoph Niemann sketches the moments of our shared experience. '}",en
Hugo Mercier,,,en
Einav Zamir Dembin,,,en
Shaylin A Schundler,,,en
Dan Finkel,,,en
Mark Robinson,,,en
Kai-Fu Lee,"{0: ['investor', 'computer scientist']}","{0: 'At Sinovation Ventures, Kai-Fu Lee invests in the next generation of Chinese high-tech companies.'}",en
Sydney Chaffee,{0: ['educator']},{0: 'Sydney Chaffee believes that teachers and students can change the world together.'},en
Elizabeth Cox,,,en
Tina Seelig,{0: ['educator']},{0: 'Tina Seelig teaches innovation and entrepreneurship and is passionate about creative problem-solving.'},en
Mary Maker,{0: ['teacher']},{0: 'Mary Maker believes in the power of education to build peace and rebuild lives.'},en
DK Osseo-Asare,{0: ['designer']},{0: 'DK Osseo-Asare creates architecture with and for the people that design overlooks.'},en
Puqun Li,,,en
Hasini Jayatilaka,{0: ['cancer fighter']},{0: 'Hasini Jayatilaka discovered a novel mechanism that causes cancer cells to break away from tumors and metastasize.'},en
Walter Hood,{0: ['creative director']},"{0: 'Walter Hood imagines urban spaces as a new kind of public sculpture -- full of beauty, strangeness and idiosyncrasy.'}",en
 Yelle,{0: ['band']},{0: 'Yelle is a French band founded by lead singer Julie Budet and Jean-François Perrier.'},fr
Chetna Gala Sinha,"{0: ['banker', 'social entrepreneur']}","{0: 'Chetna Gala Sinha is the founder and chair of the Mann Deshi Bank, aimed at the needs of rural women micro-entrepreneurs in India.'}",en
Stephen DeBerry,"{0: ['anthropologist', 'venture capitalist']}",{0: 'Stephen DeBerry uses the economy and culture to build a more just and joyful society.'},en
Mark Robinson,,,en
Jessica Pryce,"{0: ['child advocate', 'social scientist']}",{0: 'Jessica Pryce creates strategies to reduce the impact of racial bias in child protective services.'},en
Janet Stovall,"{0: ['inclusion advocate', 'speechwriter']}","{0: ""UPS's Janet Stovall has developed a business approach that addresses corporate racism head-on -- and has created methods to help dismantle it.""}",en
Leticia Gasca,"{0: ['author', 'entrepreneur']}","{0: 'Leticia Gasca is co-founder of the movement Fuckup Nights and Executive Director for the Failure Institute, the first think tank in the world devoted to studying business failure and the reasons behind it.'}",en
Tanya Khovanova,,,en
Leticia Gasca,"{0: ['author', 'entrepreneur']}","{0: 'Leticia Gasca is co-founder of the movement Fuckup Nights and Executive Director for the Failure Institute, the first think tank in the world devoted to studying business failure and the reasons behind it.'}",es
Mary Lou Jepsen,"{0: ['inventor', 'entrepreneur', 'optical physicist']}","{0: ""Mary Lou Jepsen pushes the edges of what's possible in optics and physics, to make new types of devices, leading teams and working with huge factories that can ship vast volumes of these strange, new things.""}",en
Dread Scott,{0: ['visual artist']},{0: 'Dread Scott makes revolutionary art to propel history forward. '},en
Burçin Mutlu-Pakdil,{0: ['astrophysicist']},{0: 'Burçin Mutlu-Pakdil studies the structure and dynamics of galaxies to help us understand how they form and evolve.'},en
Nora Atkinson,{0: ['craft curator']},"{0: 'Nora Atkinson is a craft curator, a humanist and a romantic -- as she says, ""I can’t believe I get to do what I do for a living.""'}",en
Elizabeth Cox,,,en
Angel Hsu,{0: ['environmental data scientist']},{0: 'Angel Hsu is a professor and data geek who applies data-driven methods to solve challenging environmental issues.\r\n'},en
Halima Aden,{0: ['model']},{0: 'Halima Aden was the first ever hijab-wearing fashion model.'},en
Francisco Díez-Buzo,,,en
Alexandra Sacks,{0: ['reproductive psychiatrist']},"{0: 'Alexandra Sacks, M.D. is widely recognized as the leading clinical expert on matrescence: the developmental transition into motherhood. '}",en
Sunni Patterson,{0: ['poet']},"{0: 'Originally from New Orleans, Louisiana, Sunni Patterson combines the heritage, culture, and traditions of her native town with a spiritual worldview to create powerful music and poetry.\r\n\r\n'}",en
Tammy Lally,{0: ['money coach']},{0: 'Tammy Lally helps others master their finances.'},en
Elizabeth Cox,,,en
Esther Sullivan,{0: ['equal housing maven']},"{0: 'Esther Sullivan is an assistant professor of sociology at the University of Colorado, Denver. Her research focuses on poverty, spatial inequality, legal regulation, housing, and the built environment, with a special interest in both forced and voluntary residential mobility. Esther holds a Ph.D. in Sociology from The University of Texas at Austin and a B.A. in English from The University of Chicago.'}",en
Antón García-Abril,,,en
Kate Wagner,{0: ['author of mcmansionhell']},"{0: 'Kate Wagner is the author of the blog McMansionHell, which aims to educate the general public about architecture, design, and urbanism by making examples of America’s most despised architectural style. Her personal research is in how socioeconomic changes in the last 36 years are reflected in architecture and design at the consumer level. Kate is currently a first-year master’s student in Acoustics, a joint venture between Johns Hopkins University and Peabody Conservatory.'}",en
Steve McCarroll,{0: ['geneticist']},{0: 'Steve McCarroll is conducting groundbreaking research on the causes of mental illness.'},en
Ben Cort,"{0: ['author', 'addiction treatment specialist']}",{0: 'Ben Cort focuses on marijuana education and consulting in the substance use disorder treatment field.'},en
Nyle DiMarco,"{0: ['model', 'actor & activist']}","{0: 'Nyle is a model, an actor, and also an activist! In 2014 he became the second male winner and the first deaf contestant to win AMERICA’S NEXT TOP MODEL. And this was only the beginning of his career in the spotlight. Only two years later he added the Mirror Ball Trophy to his collection when winning DANCING WITH THE STARS. You could have also seen him on TV in DIFFICULT PEOPLE, SWITCHED AT BIRTH and THIS CLOSE. As a model, he walked for Giorgio Armani at Milan Fashion Week S/S17. Yet, his greatest accomplishment was to become the face of the deaf community and disabled people worldwide. The work of his foundation, The Nyle DiMarco Foundation, with focus on bilingual education and improving access to accurate information about early language acquisition is one of the many reasons to TRUST in Nyle’s cause. Through his own disability, he has managed to communicate the loudest message to us - communication is always possible.'}",en
Sajan Saini,,,en
Nikki Clifton,"{0: ['attorney', 'government affairs professional']}","{0: ""Nikki Clifton represents UPS's interests before Members of US Congress, federal agencies and the states’ Attorneys General.""}",en
Mark Pollock,"{0: ['explorer', 'collaboration catalyst'], 1: ['human rights lawyer', 'activist']}","{0: ""Mark Pollock was the first blind person to race to the South Pole. Now he's exploring the intersection where humans and technology collide on a new expedition to cure paralysis in our lifetime."", 1: 'Driven by a belief in fairness, Simone George is a human rights lawyer and activist.'}",en
Pierre Barreau,{0: ['ai and music entrepreneur']},"{0: 'Pierre Barreau is an entrepreneur, computer scientist, composer and director who loves to create impactful things. '}",en
Alex Gendler,,,en
Andrew Bastawrous,"{0: ['eye surgeon', 'inventor']}",{0: 'TED Fellow Andrew Bastawrous studies eye health -- and builds accessible new tools to bring eye care to more people.'},en
Ryan Martin,{0: ['psychologist']},{0: 'Dr. Ryan Martin is the chair of the psychology department at the University of Wisconsin-Green Bay.'},en
Benedetta Berti,{0: ['conflict and security researcher']},{0: 'Benedetta Berti studies how conflicts impact civilians.'},en
Alan Lupack,,,en
Bob Woodward,"{0: ['journalist', 'author']}","{0: 'Bob Woodward is an investigative reporter and an associate editor at The Washington Post, where he has worked since 1971.'}",en
Will MacAskill,"{0: ['moral philosopher', 'writer']}","{0: 'Will MacAskill is a cofounder of the effective altruism movement, a philosophy that tries to answer the question: How can we do as much good as possible?'}",en
Elise LeGrow,{0: ['singer']},{0: 'Powerhouse singer Elise LeGrow plays with the classic sounds of R&B.'},en
Luhan Yang,"{0: ['biologist', 'geneticist']}","{0: 'Dr. Luhan Yang is the co-founder and chief scientific officer at eGenesis, working to make xenotransplantation a routine medical procedure for the delivery of safe and effective human transplantable cells, tissues and organs.'}",en
Ghada Wali,{0: ['designer']},"{0: 'A pioneering graphic designer in Egypt, Ghada Wali has designed fonts, brands and design-driven art projects.'}",en
Krishna Sudhir,,,en
Tom Griffiths,"{0: ['psychologist', 'cognitive scientist']}",{0: 'Tom Griffiths uses ideas from computer science to understand how human minds work.'},en
Simona Francese,{0: ['analytical chemist']},{0: 'Simona Francese is a chemist by training who is passionate about forensics. '},en
The Soul Rebels,{0: ['brass ensemble']},"{0: 'The Soul Rebels blend their New Orleans brass tradition with a modernized and contemporary approach, mixing funk, soul, hip-hop and jazz.'}",en
Dan Kwartler,,,en
Kate Stone,{0: ['shepherd of electrons']},"{0: 'At Novalia, Kate Stone and her team use ordinary printing presses to manufacture interactive electronics, which combine touch-sensitive ink technology and printed circuits into unique and cost-effective products.'}",en
Sian Leah Beilock,{0: ['cognitive scientist']},"{0: 'Sian Leah Beilock studies how performance anxiety can be exacerbated or alleviated, and the simple strategies we can use to ensure success under pressure.'}",en
Scott Peeples,,,en
Niels van Namen,{0: ['health care futurist']},{0: 'Niels van Namen leads the global CEVA Healthcare team as the Executive Vice President for Healthcare in BD.'},en
Kaitlyn Sadtler,{0: ['regenerative tissue engineer']},{0: 'Kaitlyn Sadtler researches how our body can regenerate tissue through instructions from our immune system. '},en
Fabio Pacucci,,,en
Chip Colwell,"{0: ['archaeologist', 'museum curator']}",{0: 'Chip Colwell is an archaeologist who tries to answer the tangled question: Who owns the past?'},en
Luke Sital-Singh,{0: ['singer-songwriter']},"{0: 'Luke Sital-Singh plumbs emotional depths to write tender, tuneful songs.'}",en
Catherine Mohr,{0: ['roboticist']},"{0: ""Catherine Mohr loves what she does -- she's just not ever sure what it will be next. ""}",en
Paolo Bortolameolli,{0: ['compositor']},"{0: 'Elogiado por el compositor George Crumb por su ""interpretación sensible y profunda"", el joven y aplaudido director de orquesta chileno Paolo Bortolameolli se ha consagrado como uno de los talentos musicales latinoamericanos más sobresalientes y versátiles del último tiempo. Es el Director Asistente de la Filarmónica de los Ángeles donde trabaja cercanamente con directores como Gustavo Dudamel o Esa-Pekka Salonen. Con una carrera en acenso y dirigiendo en importantes escenarios, es también un innovador en materias de creación de nuevas audiencias.  \r\n\r\n'}",en
Tommy McCall,{0: ['information designer']},{0: 'Tommy McCall specializes in presenting complex and rich data sets.'},en
Daniel Finkel,,,en
Tracie Keesee,{0: ['law enforcement professional']},{0: 'Dr. Tracie Keesee is committed to making the New York Police Department the most diverse and inclusive police department in the world.'},en
Alex Gendler,,,en
Kym Worthy,{0: ['prosecutor']},"{0: 'Kym Loren Worthy is the prosecutor of Wayne County, Michigan, home to Detroit.'}",en
Elizabeth Cawein,"{0: ['publicist', 'strategist and music advocate']}",{0: 'Elizabeth Cawein is dedicated to the belief that smart cities are music cities.'},en
Asali DeVan Ecclesiastes,{0: ['community servant']},{0: 'Asali DeVan Ecclesiastes imagines equitable solutions to community and societal problems and works with her community to implement those solutions.'},en
Bence Nanay,,,en
Isadora Kosofsky,"{0: ['photojournalist', 'filmmaker']}","{0: 'Isadora Kosofsky embeds herself in the lives of others, documenting them in their most fragile moments.'}",en
Liv Boeree,"{0: ['science communicator', 'games specialist']}",{0: 'Liv Boeree investigates how we make better decisions in an uncertain world.'},en
Kim Preshoff,,,en
DeAndrea Salvador,{0: ['environmental justice advocate']},{0: 'DeAndrea Salvador reshapes the way we use and engage with energy.'},en
Adam Carroll,,"{0: 'Adam Carroll is quickly being recognized as one of the top transformational trainers in the country.\xa0Having presented at over 500 colleges and Universities nationwide, hundreds of leadership symposiums, and countless local and regional organizations, Adam Carroll’s message of Building A Bigger Life, Not a Bigger Lifestyle has been heard by over 200,000+ people.\r\nIn early 2014, Adam successfully crowd-funded a documentary on student loan debt, raising nearly $70,000 in 45 days. The film, Broke Busted & Disgusted is due out in early 2015 and is already garnering critical acclaim. The mission of the film is to start a national debate about changing the way we fund college and not crippling 20 somethings with mountains of debt.\r\nAdam’s core message is we are all after the same thing – to relentlessly pursue our passions, live simply and happily, and make a difference to those around us.'}",en
Kristie Overstreet,{0: ['clinical sexologist and psychotherapist']},{0: 'Kristie Overstreet works with individuals to help strengthen their relationship with themselves and others.'},en
Iseult Gillespie,,,en
Christine Porath,"{0: ['management professor', 'researcher']}",{0: 'Christine Porath helps organizations build thriving workplaces.'},en
Magatte Wade,{0: ['brand creator']},{0: 'Magatte Wade creates jobs in Africa -- and calls attention to the obstacles to job creation on the continent.'},en
Melinda Epler,"{0: ['writer', 'advocate']}",{0: 'Melinda Epler works with the tech industry to solve diversity and inclusion together.'},en
Joshua Pate,,,en
Michel Dugon,"{0: ['zoologist', 'venom researcher']}",{0: 'Michel Dugon researches the potential of spider venom as a source of novel therapeutic agents.'},en
Alex Honnold,{0: ['rock climber']},"{0: ""Alex Honnold is a professional rock climber whose audacious free-solo ascents of\r\nAmerica's biggest cliffs have made him one of the world's most recognized climbers.""}",en
Ashwini Anburajan,"{0: ['entrepreneur', 'writer']}",{0: 'Ashwini Anburajan using blockchain to democratize access to capital.'},en
Daniel Finkel,,,en
David Korins,"{0: ['creative director', 'set designer']}",{0: 'David Korins develops and designs innovative experiences.'},en
Rebecca Onie,{0: ['health innovator']},"{0: 'Rebecca Onie is a nationally recognized leader in the intersection of social determinants, population health and health care delivery'}",en
Chip Conley,"{0: ['hospitality entrepreneur', 'author']}",{0: 'Chip Conley disrupted the hospitality industry -- twice.'},en
Chris A Kniesly,,,en
Kelly Richmond Pope,"{0: ['fraud researcher', 'documentary filmmaker']}","{0: 'Kelly Richmond Pope researches organizational misconduct, ethics and fraud.'}",en
Iseult Gillespie,,,en
David Lang,{0: ['maker']},"{0: 'David Lang is the cofounder and CEO of OpenROV, designing and manufacturing underwater drones.'}",en
Faith Osier,{0: ['infectious disease doctor']},{0: 'Faith Osier is studying how humans acquire immunity to malaria and developing new malaria vaccines.'},en
Congrui Jin,,,en
Kate Darling,{0: ['robot ethicist']},"{0: 'Kate Darling investigates the relationship between humans and robots -- now, and in the future. '}",en
Johan Rockstrom,{0: ['sustainability expert']},{0: 'Johan Rockström works to redefine sustainable development.'},en
Gillian Gibb,,,en
Daniel Kraft,"{0: ['physician-scientist', 'inventor', 'entrepreneur']}",{0: 'Daniel Kraft explores the impact and potential of rapidly developing technologies as applied to health and medicine.'},en
Matt Russo,"{0: ['astrophysicist', 'musician']}",{0: 'Matt Russo is an astrophysicist and musician who translates the rhythm and harmony of the cosmos into music and sound.'},en
Vinay Shandal,{0: ['investment agitator']},"{0: ""BCG's Vinay Shandal is passionate about the role of capital in creating impact.""}",en
Leonora Neville,,,en
Andrew Zimmerman,,,en
Wanis Kabbaj,"{0: ['global citizen', 'transportation geek']}","{0: ""UPS's Wanis Kabbaj seeks new ways of understanding the growing complexity of our congested cities and globalized world.""}",en
Henrietta Fore,{0: ['child advocate']},"{0: 'UNICEF executive director Henrietta Fore is a champion of economic development, education, health and humanitarian assistance.'}",en
Darieth Chisolm,"{0: ['journalist', 'activist']}","{0: 'Darieth Chisolm is an Emmy-winning television personality, former NBC News Anchor, entrepreneur, author, international speaker and life and business coach.'}",en
Dennis Shasha,,,en
Elizabeth Streb,{0: ['action and hardware architect']},"{0: 'Elizabeth Streb is an extreme action specialist who flies, crash-lands and invents hardware to get higher, faster, sooner, harder.'}",en
Shane Wickes,{0: ['student']},"{0: 'Shane is a strong believer in the power of sports to bridge social gaps. He was born in Reno, Nevada. As a walk-on football player for Boise State University he was inspired to become a coach after his playing career came to an end.\n\nReturning home to Reno he quickly got back into the saddle and started coaching at his high school Alma mater. Recently he fulfilled his dream of being the Varsity Offensive Line Coach and at the age of 21 became the youngest Line Coach in the school’s history. A senior at the University of Nevada, Reno, Shane is majoring in Finance and Economics. In addition to school and coaching, he currently works as the Marketing Manager at Oliver Wickes and Associates® and he is the author of the blog Faith, Family, Football.\n\nHe loves the game. Coaching is a strong passion for Shane and it has given him the ability to do what he loves most – have a meaningful impact on the lives of others.'}",en
A Tribe Called Red,{0: ['dj collective']},"{0: 'Bursting forth from Canada’s capital, native producer and DJ crew A Tribe Called Red is making an impact on the global electronic scene with a truly unique sound.'}",en
Alexis Jones,{0: ['author/protecther']},"{0: 'Alexis Jones is the co-founder of the non-profit I Am That Girl, and author of the book by the same name. After years of traveling and speaking to hundreds of thousands of girls and women, her most recent project is ProtectHer: a campaign created out of an urgency to address the ever-growing issue of domestic abuse and sexual assault on campuses.'}",en
Charles C. Mann,{0: ['science journalist']},"{0: 'Charles C. Mann calls himself ""a fella who tries to find out interesting things and tell others about them.""'}",en
Rachel Wurzman,{0: ['neuroscientist']},"{0: 'Through her nonprofit SeekHealing, Rachel Wurzman aims to reduce opioid overdose rates by building communities that are inherently resilient to addiction.'}",en
Brian D Avery,,,en
Fadi Chehadé,"{0: ['technologist', 'entrepreneur'], 1: ['editorial director and curator', 'ted institute']}","{0: 'Fadi Chehadé is focused on finding ways for society to benefit from technology and strengthening international cooperation in the digital space.', 1: 'Bryn Freedman helps those who want to give the ""talk of their lives"" in a clear, passionate and authentic way.'}",en
Graham Allison,"{0: ['political scientist', 'professor']}","{0: 'Graham Allison is a leading analyst of US national security and defense policy with a special interest in China, nuclear weapons and decision-making.'}",en
Keith Eggener,,,en
Finn Lützow-Holm Myrstad,{0: ['information security researcher']},"{0: 'Finn Lützow-Holm Myrstad leads the development of better, more ethical digital policies and standards at the Norwegian Consumer Council.'}",en
Brian Olson,{0: ['redistricting advocate']},"{0: 'Brian Olson is currently a software engineer at PatientsLikeMe. Since learning to program at age 9, he has worked on software of all kinds at many levels from embedded microcontrollers to server farms. He’s worked at startups, major companies, and independently.\n\nBrian has worked on redistricting software for over a decade, resulting in an efficient system that can solve for compact, impartial, non-gerrymandered districts on a home computer. This work has been cited in the Washington Post and scholarly journals. The software is Free and Open Source allowing anyone to verify its function or tinker with it to make it better.\n\nBrian earned a B.S. in Computer Science from Carnegie Mellon University.'}",en
Dolly Chugh,"{0: ['author', 'social psychologist']}",{0: 'Dolly Chugh is a social scientist of who studies the psychology of good people.'},en
Rusha Modi,,,en
Julia Shaw,{0: ['psychological scientist']},{0: 'Julia Shaw is best known for her work in the areas of memory and criminal psychology.'},en
Suzie Sheehy,{0: ['physicist']},"{0: 'Dr. Suzie Sheehy uses accelerator physics to help reinvent technology for applications in medicine, energy and beyond.'}",en
Elizabeth Cox,,,en
Özlem Cekic,"{0: ['bridge builder', 'author']}","{0: 'Born in Turkey with Kurdish roots, Özlem Sara Cekic was one of the first women with a Muslim immigrant background to be elected to the Danish Parliament, where she served from 2007 to 2015.'}",en
Rene Laufer,,,en
Mara Mintzer,{0: ['community engagement specialist']},"{0: 'Mara Mintzer thrives on engaging children, youth and underrepresented communities in participatory planning, an approach that aims to integrate the views of all community members into designing exemplary communities.'}",en
Franklin Leonard,{0: ['film producer']},"{0: 'Franklin Leonard is a film producer, cultural commentator, professor, activist and entrepreneur.'}",en
Dennis Wildfogel,,,en
Michael Green,"{0: ['economist', 'social progress expert']}","{0: 'Michael Green is part of the team that has created the Social Progress Index, a standard to rank societies based on how they meet the needs of citizens.'}",en
Dan Finkel,,,en
Tamas Kocsis,{0: ['web developer']},{0: 'Tamas Kocsis is a self-taught web developer who was always obsessed by new technologies.'},en
Adrián Paenza,,,en
